Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","ca","140","00","ACSSF","0003870",,,,,"06","037",,,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110",,,"1142402","0",4314,3314,47,4,329,4,499,117
"06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","ca","140","00","ACSSF","0003871",,,,,"06","037",,,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122",,,"2644045","0",3239,2837,61,13,206,0,61,61
"06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","ca","140","00","ACSSF","0003873",,,,,"06","037",,,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220",,,"698886","0",3497,2494,71,0,302,0,487,143
"06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","ca","140","00","ACSSF","0003874",,,,,"06","037",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300",,,"2581214","0",4297,3705,161,0,289,0,48,94
"06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","ca","140","00","ACSSF","0003875",,,,,"06","037",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400",,,"6310056","0",3851,3022,18,43,348,0,224,196
"06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","ca","140","00","ACSSF","0003876",,,,,"06","037",,,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103",,,"1186484","0",1771,1523,0,0,113,0,50,85
"06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","ca","140","00","ACSSF","0003877",,,,,"06","037",,,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104",,,"1658544","0",3554,2720,117,3,443,8,206,57
"06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","ca","140","00","ACSSF","0003878",,,,,"06","037",,,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105",,,"492761","0",1857,1179,41,13,117,12,415,80
"06037102107","Census Tract 1021.07","Census Tract 1021.07, Los Angeles County, California","ca","140","00","ACSSF","0003879",,,,,"06","037",,,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102107",,,"12908558","13753",4333,3402,111,6,395,0,319,100
"06037103101","Census Tract 1031.01","Census Tract 1031.01, Los Angeles County, California","ca","140","00","ACSSF","0003880",,,,,"06","037",,,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103101",,,"2029806","0",2597,2201,13,12,171,0,85,115
"06037103102","Census Tract 1031.02","Census Tract 1031.02, Los Angeles County, California","ca","140","00","ACSSF","0003881",,,,,"06","037",,,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103102",,,"1241029","0",4456,3240,0,7,753,0,345,111
"06037103300","Census Tract 1033","Census Tract 1033, Los Angeles County, California","ca","140","00","ACSSF","0003883",,,,,"06","037",,,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037103300",,,"6141955","0",3549,3018,42,9,309,0,52,119
"06037104103","Census Tract 1041.03","Census Tract 1041.03, Los Angeles County, California","ca","140","00","ACSSF","0003885",,,,,"06","037",,,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104103",,,"949109","0",3647,2325,502,20,265,8,476,51
"06037104105","Census Tract 1041.05","Census Tract 1041.05, Los Angeles County, California","ca","140","00","ACSSF","0003886",,,,,"06","037",,,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104105",,,"584698","0",6190,3300,307,32,608,0,1694,249
"06037104108","Census Tract 1041.08","Census Tract 1041.08, Los Angeles County, California","ca","140","00","ACSSF","0003887",,,,,"06","037",,,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104108",,,"1096629","0",5420,3159,516,0,172,13,1502,58
"06037104124","Census Tract 1041.24","Census Tract 1041.24, Los Angeles County, California","ca","140","00","ACSSF","0003888",,,,,"06","037",,,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104124",,,"4479384","980",4189,2582,386,21,353,0,724,123
"06037104201","Census Tract 1042.01","Census Tract 1042.01, Los Angeles County, California","ca","140","00","ACSSF","0003889",,,,,"06","037",,,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104201",,,"1090103","0",4424,2564,423,35,0,0,1393,9
"06037104203","Census Tract 1042.03","Census Tract 1042.03, Los Angeles County, California","ca","140","00","ACSSF","0003890",,,,,"06","037",,,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104203",,,"707973","0",5541,3068,451,38,52,0,1877,55
"06037104204","Census Tract 1042.04","Census Tract 1042.04, Los Angeles County, California","ca","140","00","ACSSF","0003891",,,,,"06","037",,,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104204",,,"2664512","3735",3562,2230,165,12,207,0,799,149
"06037104310","Census Tract 1043.10","Census Tract 1043.10, Los Angeles County, California","ca","140","00","ACSSF","0003892",,,,,"06","037",,,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104310",,,"1508623","0",5313,2825,114,19,15,0,2213,127
"06037104401","Census Tract 1044.01","Census Tract 1044.01, Los Angeles County, California","ca","140","00","ACSSF","0003894",,,,,"06","037",,,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104401",,,"681117","0",3452,1975,0,0,28,62,1365,22
"06037104403","Census Tract 1044.03","Census Tract 1044.03, Los Angeles County, California","ca","140","00","ACSSF","0003895",,,,,"06","037",,,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104403",,,"693083","0",3279,1812,0,24,95,0,1320,28
"06037104404","Census Tract 1044.04","Census Tract 1044.04, Los Angeles County, California","ca","140","00","ACSSF","0003896",,,,,"06","037",,,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104404",,,"539620","0",3128,1701,132,11,61,0,1206,17
"06037104500","Census Tract 1045","Census Tract 1045, Los Angeles County, California","ca","140","00","ACSSF","0003897",,,,,"06","037",,,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104500",,,"531002","0",2950,1367,0,10,5,0,1499,69
"06037104610","Census Tract 1046.10","Census Tract 1046.10, Los Angeles County, California","ca","140","00","ACSSF","0003898",,,,,"06","037",,,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104610",,,"592138","0",3504,1760,0,12,0,0,1692,40
"06037104620","Census Tract 1046.20","Census Tract 1046.20, Los Angeles County, California","ca","140","00","ACSSF","0003899",,,,,"06","037",,,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104620",,,"531171","0",3684,1994,26,15,16,0,1506,127
"06037104701","Census Tract 1047.01","Census Tract 1047.01, Los Angeles County, California","ca","140","00","ACSSF","0003900",,,,,"06","037",,,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104701",,,"550504","0",4325,2662,168,0,0,0,1471,24
"06037104703","Census Tract 1047.03","Census Tract 1047.03, Los Angeles County, California","ca","140","00","ACSSF","0003901",,,,,"06","037",,,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104703",,,"1168606","0",2311,1499,137,63,0,0,601,11
"06037104704","Census Tract 1047.04","Census Tract 1047.04, Los Angeles County, California","ca","140","00","ACSSF","0003902",,,,,"06","037",,,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104704",,,"1662660","0",4331,2151,598,0,336,0,1207,39
"06037104821","Census Tract 1048.21","Census Tract 1048.21, Los Angeles County, California","ca","140","00","ACSSF","0003904",,,,,"06","037",,,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104821",,,"531802","0",3361,1903,63,27,151,0,1212,5
"06037104822","Census Tract 1048.22","Census Tract 1048.22, Los Angeles County, California","ca","140","00","ACSSF","0003905",,,,,"06","037",,,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037104822",,,"604352","0",2748,1739,34,49,124,0,779,23
"06037106010","Census Tract 1060.10","Census Tract 1060.10, Los Angeles County, California","ca","140","00","ACSSF","0003906",,,,,"06","037",,,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106010",,,"2517807","0",3108,2369,83,20,118,0,427,91
"06037106020","Census Tract 1060.20","Census Tract 1060.20, Los Angeles County, California","ca","140","00","ACSSF","0003907",,,,,"06","037",,,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106020",,,"2010764","7144",5807,4809,66,9,44,0,675,204
"06037106111","Census Tract 1061.11","Census Tract 1061.11, Los Angeles County, California","ca","140","00","ACSSF","0003908",,,,,"06","037",,,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106111",,,"3813566","12394",4482,2758,229,113,404,0,823,155
"06037106112","Census Tract 1061.12","Census Tract 1061.12, Los Angeles County, California","ca","140","00","ACSSF","0003909",,,,,"06","037",,,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106112",,,"3222752","0",5885,4157,91,266,437,16,665,253
"06037106113","Census Tract 1061.13","Census Tract 1061.13, Los Angeles County, California","ca","140","00","ACSSF","0003910",,,,,"06","037",,,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106113",,,"1443463","0",3962,2872,193,0,362,0,525,10
"06037106114","Census Tract 1061.14","Census Tract 1061.14, Los Angeles County, California","ca","140","00","ACSSF","0003911",,,,,"06","037",,,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106114",,,"1011791","3298",6410,4729,290,71,259,0,1012,49
"06037106403","Census Tract 1064.03","Census Tract 1064.03, Los Angeles County, California","ca","140","00","ACSSF","0003912",,,,,"06","037",,,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106403",,,"1105644","0",3431,2797,17,35,13,0,505,64
"06037106405","Census Tract 1064.05","Census Tract 1064.05, Los Angeles County, California","ca","140","00","ACSSF","0003913",,,,,"06","037",,,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106405",,,"1171734","0",4813,3525,278,0,82,0,848,80
"06037106406","Census Tract 1064.06","Census Tract 1064.06, Los Angeles County, California","ca","140","00","ACSSF","0003914",,,,,"06","037",,,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106406",,,"2085950","916",5860,4330,170,255,310,0,560,235
"06037106407","Census Tract 1064.07","Census Tract 1064.07, Los Angeles County, California","ca","140","00","ACSSF","0003915",,,,,"06","037",,,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106407",,,"232136","0",3272,2520,323,6,122,0,258,43
"06037106408","Census Tract 1064.08","Census Tract 1064.08, Los Angeles County, California","ca","140","00","ACSSF","0003916",,,,,"06","037",,,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106408",,,"229071","0",3817,2830,71,0,137,0,705,74
"06037106510","Census Tract 1065.10","Census Tract 1065.10, Los Angeles County, California","ca","140","00","ACSSF","0003917",,,,,"06","037",,,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106510",,,"5708883","8398",5347,3453,347,9,480,0,727,331
"06037106520","Census Tract 1065.20","Census Tract 1065.20, Los Angeles County, California","ca","140","00","ACSSF","0003918",,,,,"06","037",,,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106520",,,"2205882","0",5879,4919,25,0,85,0,670,180
"06037106603","Census Tract 1066.03","Census Tract 1066.03, Los Angeles County, California","ca","140","00","ACSSF","0003919",,,,,"06","037",,,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106603",,,"15302666","3978",3222,2143,1,0,779,30,50,219
"06037106604","Census Tract 1066.04","Census Tract 1066.04, Los Angeles County, California","ca","140","00","ACSSF","0003920",,,,,"06","037",,,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106604",,,"2611563","8851",5143,4343,4,33,102,1,626,34
"06037106641","Census Tract 1066.41","Census Tract 1066.41, Los Angeles County, California","ca","140","00","ACSSF","0003921",,,,,"06","037",,,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106641",,,"1135493","0",2352,1684,28,0,465,0,13,162
"06037106642","Census Tract 1066.42","Census Tract 1066.42, Los Angeles County, California","ca","140","00","ACSSF","0003922",,,,,"06","037",,,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106642",,,"1577594","0",3016,1847,175,9,337,0,496,152
"06037106643","Census Tract 1066.43","Census Tract 1066.43, Los Angeles County, California","ca","140","00","ACSSF","0003923",,,,,"06","037",,,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037106643",,,"4338941","0",4599,2965,89,83,972,0,234,256
